"","timestamp","bssid","isconnected","ssid","userid"
"1","-05-10 13:49:53.171","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"2","-06-04 18:28:04.697","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"3","-05-12 02:28:02.513","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"4","-05-10 12:59:44.968","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"5","-06-04 19:05:38.480","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"6","-05-13 10:48:20.842","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"7","-05-24 10:22:11.429","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"8","-05-10 13:45:55.075","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"9","-05-10 13:07:57.776","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"10","-05-10 13:55:45.567","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"11","-05-13 11:03:19.869","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"12","-05-30 09:42:44.173","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"13","-05-10 13:08:21.279","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"14","-06-04 19:22:39.873","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"15","-05-10 13:03:45.646","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"16","-05-10 13:59:24.845","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"17","-05-17 01:01:49.992","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"18","-06-04 18:56:29.526","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"19","-05-10 13:46:32.211","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"20","-05-10 13:43:49.906","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"21","-06-04 19:36:35.148","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"22","-05-10 13:00:53.879","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"23","-05-13 10:52:26.303","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"24","-05-10 12:58:53.601","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"25","-06-04 19:16:38.343","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"26","-05-10 13:52:43.680","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"27","-05-10 13:56:12.943","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"28","-05-10 12:51:43.703","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"29","-05-30 09:46:03.395","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"30","-05-10 13:48:15.451","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"31","-05-26 14:37:02.817","10:13:31:6f:d2:7d","False","9b348b6126598323c2606cf1adaf79449772f6a5d6f9d5b4eb8507a7cc6014af",113
"32","-06-04 19:18:32.320","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"33","-05-10 13:07:31.806","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"34","-05-10 13:00:07.324","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"35","-05-24 17:10:13.084","00:1c:f9:c0:9f:d1","False","8dc06717e724c84092fe4c83814851e15ae2868fd848e91f0e9a0c306bfb71e2",113
"36","-05-10 13:46:11.050","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"37","-05-10 12:57:53.392","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"38","-05-27 07:45:14.197","c4:e9:84:b0:d5:72","True","1d2239df442e5537ea51bd8e16fdcf14220bb9a0b9f85355cc62d2569951843b",113
"39","-05-10 12:58:48.586","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"40","-06-04 19:48:27.718","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"41","-05-12 02:25:10.963","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"42","-05-10 13:49:49.204","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"43","-06-04 19:12:02.671","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
"44","-05-10 12:54:30.397","","True","409c4de8b40da0155b158543042770694797cee5b5fc39bf23aedd3b988ce3e0",61
